City Name,Temperatue,Humidity,Cloudiness,Wind Speed,Latitude
Chui,64.38,82,1,2.93,-33.7
Bredasdorp,61.65,77,69,12.75,-34.53
Port Alfred,69.01,89,90,8.99,-33.59
Puerto Ayora,75.0,26,33,12.55,-0.74
Sao Filipe,74.46,63,13,17.58,14.9
Katsuura,42.76,75,75,3.36,35.13
Nikolskoye,29.8,86,100,4.47,59.7
George Town,88.48,52,20,11.41,5.41
Busselton,93.51,19,99,17.54,-33.65
Comodoro Rivadavia,69.8,40,19,18.34,-45.87
Cidreira,76.05,58,41,7.02,-30.18
East London,71.6,83,20,13.87,-33.02
Abu Kamal,44.78,63,0,11.14,34.45
Kapaa,74.19,69,75,3.36,22.08
Rikitea,78.73,78,24,11.1,-23.12
Camacha,57.2,76,20,6.93,33.08
Jamestown,31.87,100,90,8.05,42.1
Bandarbeyla,78.3,79,27,19.06,9.49
Yar-Sale,-7.91,98,84,4.07,66.83
Butaritari,85.71,72,99,8.84,3.07
Mahebourg,81.5,78,40,14.99,-20.41
Ushuaia,35.38,96,72,5.95,-54.8
Port-Cartier,19.4,73,75,5.82,50.03
Byron Bay,84.38,61,45,11.41,-28.65
Kawalu,82.18,69,75,6.6,-7.38
Albany,35.2,86,90,6.73,42.6
Bambous Virieux,81.16,78,40,14.99,-20.34
Vaini,77.0,100,90,10.29,-21.2
Kahului,72.91,65,20,12.75,20.89
Yellowknife,10.4,85,90,5.82,62.46
Dingle,85.28,71,54,5.03,11.0
Mataura,69.01,58,69,11.01,-46.19
New Norfolk,67.37,30,75,21.92,-42.78
Mayo,40.05,70,90,6.93,38.89
Mar del Plata,60.3,76,0,1.32,-38.0
Ilulissat,6.8,42,47,13.87,69.22
Mossamedes,74.61,72,56,10.11,-15.2
Muros,45.41,93,75,4.7,42.78
Eureka,56.39,87,90,11.41,40.8
Punta Arenas,48.09,70,20,12.75,-53.15
Hobart,65.55,30,77,21.92,-42.88
General Roca,77.0,38,37,12.75,-39.03
Laurel,38.5,80,1,5.82,39.1
Tasiilaq,26.6,86,100,31.09,65.61
Boca do Acre,75.31,88,97,1.25,-8.75
Atuona,81.0,76,37,14.47,-9.8
Buala,85.98,66,2,6.35,-8.14
Clyde River,-25.6,60,1,10.29,70.47
Sinnamary,79.5,83,100,18.25,5.38
Chokurdakh,-21.73,89,100,7.47,70.63
Barrow,-20.2,75,75,10.29,71.29
Muroto,57.2,62,75,2.24,33.28
Souillac,81.14,78,40,14.99,-20.52
Kodiak,17.6,61,90,17.22,57.79
Hailar,7.23,87,68,6.98,49.2
Grindavik,35.6,85,90,17.22,63.84
Marakkanam,80.6,74,20,4.7,12.2
Chernyshevskiy,16.41,97,100,6.4,63.01
Brae,45.36,93,100,21.92,60.4
Bubaque,77.43,70,96,5.32,11.28
Mahibadhoo,81.59,76,99,11.9,3.78
Fukuecho,54.64,71,75,10.29,32.69
Puerto Cabezas,65.89,87,0,3.4,14.04
Qaanaaq,-12.08,46,58,4.68,77.48
Richards Bay,78.94,77,1,22.84,-28.78
Srednekolymsk,-23.35,97,100,2.1,67.45
Fairbanks,-21.21,66,1,5.21,64.84
Constitucion,63.28,68,0,3.47,-35.33
Baykit,15.26,81,100,12.57,61.67
Lavrentiya,-13.41,75,0,2.06,65.58
Esperance,82.4,48,68,13.87,-33.87
Igarka,2.44,96,98,7.81,67.47
Macao,62.53,87,40,17.22,22.2
Rovira,71.6,94,40,4.83,4.24
Arawa,84.22,73,29,5.99,-6.21
