City Name,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Latitude,Longitude
Stephenville,33.8,74,1,5.82,32.22,-98.2
Bulgan,-13.54,77,0,3.38,48.81,103.53
Rikitea,78.98,80,73,15.79,-23.12,-134.97
Ushuaia,56.21,71,75,7.67,-54.8,-68.3
Thompson,23.0,85,90,11.41,55.74,-97.86
Bambous Virieux,82.24,78,75,11.41,-20.34,57.76
Coquimbo,60.8,93,90,2.24,-29.95,-71.34
Butaritari,84.02,78,100,15.99,3.07,172.79
Qaanaaq,-26.34,99,100,2.08,77.48,-69.36
Ewo,91.0,42,81,2.51,-0.87,14.82
Tasiilaq,21.2,73,90,24.16,65.61,-37.64
Jega,92.26,6,45,13.73,12.22,4.38
Torbay,19.96,73,90,14.99,47.67,-52.73
Jishou,42.73,93,95,0.74,28.32,109.72
Hermanus,81.0,68,99,13.0,-34.42,19.23
Alofi,77.0,94,24,5.82,-19.06,-169.92
Bluff,68.0,81,100,7.0,-46.6,168.33
Airai,67.64,89,81,3.44,-8.93,125.41
Khakhea,94.5,14,51,9.66,-24.69,23.49
Boa Vista,84.2,62,40,18.34,2.82,-60.67
Tuatapere,68.0,81,100,7.0,-46.13,167.68
Sittwe,70.59,72,0,12.48,20.15,92.9
Katherine,77.0,94,90,4.7,-14.47,132.27
Pangnirtung,-5.94,99,100,3.24,66.15,-65.71
Osa,23.86,96,100,4.7,57.28,55.46
Atuona,81.0,78,9,16.84,-9.8,-139.03
Chokurdakh,-18.53,98,100,6.29,70.63,147.92
Busselton,60.01,69,0,5.99,-33.65,115.33
Anadyr,-38.11,65,20,8.95,64.75,177.48
Punta Arenas,51.57,81,90,16.11,-53.15,-70.92
Mataura,68.0,81,100,7.0,-46.19,168.86
Nikolskoye,25.63,86,90,11.18,59.7,30.79
Kodiak,15.8,56,20,31.09,57.79,-152.41
Fernie,41.77,86,90,21.92,49.5,-115.07
Itambacuri,86.07,61,6,2.75,-18.03,-41.69
La Maddalena,62.55,77,90,17.22,41.21,9.41
Jamestown,26.78,85,90,3.36,42.1,-79.24
Puerto Ayora,76.53,83,20,6.93,-0.74,-90.35
Albany,31.23,80,90,1.25,42.6,-73.97
Yellowknife,-20.51,74,5,6.93,62.46,-114.35
Adrar,83.82,7,0,13.18,20.5,-10.07
Sherbakul,1.4,64,0,8.95,54.63,72.4
Dikson,-14.69,95,0,11.99,73.51,80.55
